1-й пов. (Казахстанская), 51.253859, 51.271513
3-я дачная, 51.169852, 51.477557
9-й м-н, 51.25292, 51.448328
Автопарк, 51.235482, 51.432057
Автостанция, 51.225064, 51.372916
Акжаик, 51.177323, 51.27016
Алаугаз, 51.236618, 51.348868
Альбина (Камбар Батыра), 51.181862, 51.290862
Ахмедияр Батыра, 51.21294, 51.366717
Баня (Магистральная), 51.26346, 51.388314
Берёзка, 51.239587, 51.379641
Больница (пос. Желаево), 51.251987, 51.498907
Выставочный зал, 51.212375, 51.368282
Гостиница Саяхат, 51.20893, 51.368429
Дачи Тополек, 51.177859, 51.428906
Детская больница, 51.24241, 51.412839
Детский сад (Сырыма Датова), 51.231561, 51.439981
ДК Молодежи, 51.231385, 51.383723
Дружба, 51.247507, 51.314303
Ж/д вокзал, 51.22756, 51.369484
Жигули, 51.245369, 51.423227
Завод СМО, 51.257613, 51.303646
Индустриальный колледж, 51.223928, 51.356999
Казахская школа, 51.265497, 51.386303
Карахат, 51.228976, 51.369426
Киевская (Южная), 51.190948, 51.287122
Колонка (Алпамыс Батыра), 51.245942, 51.28969
Комсомольская, 51.275885, 51.398127
Коняхина (Самал), 51.266189, 51.46115
к-тр Гагарина, 51.228976, 51.369426
Лесозащитная, 51.239967, 51.458352
Магазин Айгуль, 51.245669, 51.402835
Магазин Ассорти, 51.266331, 51.398972
Магазин Вольный стиль, 51.225289, 51.367285
Магазин Каганат, 51.189209, 51.46892
Магазин Лейла, 51.253445, 51.424186
Магазин Румия, 51.189209, 51.46892
Магазин Школьник, 51.215088, 51.374572
Магазин Яик, 51.179385, 51.379002
Мечеть, 51.216892, 51.385923
мкр. Сарытау, 51.186056, 51.270186
Московская (Московская), 51.254362, 51.42694
Мясокомбинат, 51.232913, 51.467347
Налоговый комитет (Некрасова), 51.194566, 51.382762
Никель, 51.194614, 51.496763
Общежитие, 51.19211, 51.314117
Пансионат (Шолохова), 51.246463, 51.384962
Перекрёсток, 51.270528, 51.462368
Перекрёсток (с. Меловые горки), 51.140648, 51.347091
пл. М. Маметовой, 51.218707, 51.364381
Победа, 51.219132, 51.385021
пов. на дачи, 51.251472, 51.389745
пов. (Сергея Лазо), 51.228976, 51.369426
Поликлиника 5, 51.256047, 51.448428
Почтовая, 51.226108, 51.409101
ПТЛ 5, 51.241205, 51.362122
Родник, 51.236949, 51.412371
Рынок Ел Ырысы, 51.254899, 51.418184
Рынок (Мухита), 51.205063, 51.383977
Саралжин, 51.185696, 51.26738
Серебряково, 51.046861, 51.23609
Собор, 51.183472, 51.378184
СОШ 20, 51.185286, 51.320224
СОШ 8, 51.223051, 51.397758
Старая конечная (м-он Жулдыз), 51.272349, 51.467116
Столовая, 51.260932, 51.290579
Талдысайская (Гринько), 51.192442, 51.292143
ТД Азиза, 51.203373, 51.378385
Телефонная (Южная), 51.19001, 51.294944
Толстого (Мухита), 51.211069, 51.381656
Треугольник, 51.209004, 51.520066
ТЭЦ, 51.226024, 51.423508
Универмаг, 51.21928, 51.388801
Уральскэнерго, 51.224107, 51.405118
Хитева, 51.264137, 51.435405
Циолковского, 51.243873, 51.41798
Школа 26, 51.232051, 51.367107
Школа 7, 51.2138, 51.377042
Шлагбаум, 51.228976, 51.369426
Энергетик, 51.190309, 51.480566
1-я дачная, 51.20534, 51.446855
4-й мкр. (Абулхаир Хана), 51.247254, 51.429269
Ural Car City, 51.241349, 51.431717
Автопарк (Джамбула), 51.235482, 51.432057
Автоцон, 51.162294, 51.289101
Акжол, 51.228976, 51.369426
Алем, 51.153784, 51.484916
Амбулатория (п. Деркул), 51.264064, 51.273073
Ашхабадская, 51.231317, 51.374069
Баня (Тайманова), 51.217749, 51.36029
Библиотека (пос. Желаево), 51.256439, 51.500165
Водник (Жангир хана), 51.186473, 51.360143
Вышка, 51.269367, 51.41928
Дамба, 51.24325, 51.291266
ДВД ЗКО, 51.191948, 51.383733
Детская деревня, 51.183335, 51.315462
Детский сад (Энтузиастов), 51.231561, 51.439981
Дом 23, 51.193723, 51.314102
Дэпо (Курмангалиева), 51.231992, 51.389721
Желаевский поворот, 51.26357, 51.498933
Завод Агрореммаш, 51.233885, 51.446488
ЗКАТУ, 51.178392, 51.304384
Институт Евразия, 51.207276, 51.370776
Казахстан, 51.242817, 51.267926
Карьер, 51.267322, 51.510562
Киоск (Доспановой), 51.191774, 51.304529
Колонка (Хорошкина), 51.245942, 51.28969
Конечная (с. Меловые горки), 51.137421, 51.353123
Корпорация Стройматериалов, 51.228976, 51.369426
к-тр Казахстан, 51.242817, 51.267926
Лесополоса, 51.13639, 51.487485
Магазин Айкоркем, 51.171552, 51.282376
Магазин Балапан, 51.181472, 51.307603
Магазин Дильназ, 51.240838, 51.270798
Магазин Канат, 51.174341, 51.283795
Магазин Любимый, 51.243739, 51.294979
Магазин Салтанат, 51.170004, 51.292197
Магазин Экспресс (Гринько), 51.192826, 51.283506
Мебельная фабрика, 51.235347, 51.410115
мкр. Арман, 51.172581, 51.287383
мкр. Северо-восток, 51.241168, 51.427369
Московская (Светлая), 51.260179, 51.449601
Набережная, 51.252552, 51.306796
Научно-техническая библиотека, 51.221106, 51.393107
Новостройки (пос. Желаево), 51.258833, 51.500322
Омега, 51.237536, 51.360522
Паром, 51.228976, 51.369426
Перекресток (Автомобилистов), 51.189799, 51.313947
Петровского, 51.224689, 51.386263
Плодоовощной (Комсомольская), 51.27447, 51.389819
пов. (Абдолова), 51.255236, 51.456143
пов. на м. Сарытау, 51.169418, 51.272647
пов. (Соколиная), 51.228976, 51.369426
Поликлиника 6, 51.178621, 51.298355
Преображенская, 51.263964, 51.439085
п. Трекино, 51.286966, 51.589525
Русская школа, 51.265497, 51.386303
Рынок Золотая Чаша, 51.246408, 51.396216
Рынок Тулпар, 51.203128, 51.379402
Саратовская, 51.183417, 51.298866
Сиреневая, 51.25809, 51.441384
СОШ 10, 51.17723, 51.289971
СОШ 22, 51.225452, 51.418587
с. Подстепное, 51.15438, 51.488829
Старый Элеватор, 51.227105, 51.407522
Стрелковая дивизия, 51.19019, 51.282976
Талдысайская (Южная), 51.190452, 51.291239
ТД Астана, 51.244637, 51.426688
Темиртаусская д. 21, 51.188487, 51.316254
Тонель, 51.251129, 51.279229
ТРК Орал, 51.248904, 51.434237
Тюленина, 51.240339, 51.404967
Урал знак, 51.154614, 51.310447
Урожайный, 51.207877, 51.505367
Хлебзавод, 51.22522, 51.360252
ЦОН, 51.200925, 51.36043
Школа 28, 51.244756, 51.441017
Школа (Казахстанская), 51.265497, 51.386303
Шокая, 51.170237, 51.279743
Яблоневая, 51.260264, 51.442917
2-й поворот, 51.209749, 51.291277
4-й мкр. (Уральск-Желаево трасса), 51.241704, 51.437076
Автовокзал, 51.226646, 51.437511
Автопарк (Уральск-Желаево трасса), 51.235482, 51.432057
Агран, 51.259166, 51.484725
Акимат (пос. Желаево), 51.253552, 51.499046
Алмазова, 51.216022, 51.355201
Амбулатория (с. Мичурино), 51.265382, 51.383146
Аэропорт, 51.153734, 51.538177
Бауржан, 51.228976, 51.369426
Бойня, 51.257831, 51.453555
Военно-техническая школа, 51.235733, 51.394236
Гипермаркет Дина, 51.265863, 51.407026
Дачи, 51.251472, 51.389745
Депо (Абулхаир Хана), 51.231992, 51.389721
Детский сад (Гагарина), 51.231561, 51.439981
